schedule,seed,event_count,declared_horizon,last_event_time,failures,first_failure_event,n_f,mean_collision_burden,peak_collision_burden,damage_auc,peak_damage,final_event_damage,adjacent_conflict_count,conflicting_pair_count
clustered,6241,20,69,20,6,6,6,3.9795078333,8.6803978918,58.3938469319,6.2837381621,6.0788887946,11,97
random_sparse_a,6241,20,69,69,3,14,14,1.2849587431,2.634799785,12.5673152903,1.0380822464,0.8008999655,11,97
random_sparse_b,6241,20,69,69,3,14,14,1.6033051509,3.9260897773,15.0458203827,1.5483404781,0.7642806136,11,97
ulam_spaced,6241,20,69,69,3,14,14,1.4060654953,3.5268966954,13.8541314456,1.2394751806,0.3609168049,11,97
conflict_aware,6241,20,69,69,3,14,14,1.2123036087,2.5267764847,12.1898365573,1.1391612517,0.5165268517,11,97
clustered,6242,20,69,20,6,6,6,1.9003075469,4.2528367159,31.0926928516,3.1081327735,3.1081327735,4,47
random_sparse_a,6242,20,69,69,2,8,8,0.6199576579,2.2735748498,7.917651089,0.6009762352,0.3755340971,4,47
random_sparse_b,6242,20,69,69,4,6,6,0.7646813199,3.7023093987,8.6449495382,0.9692361111,0.4406227451,4,47
ulam_spaced,6242,20,69,69,3,8,8,0.8094051235,3.2230475325,9.5841995264,0.9861639828,0.3092105273,4,47
conflict_aware,6242,20,69,69,3,8,8,0.4683720949,1.1725078696,6.600769252,0.4970070569,0.3387443583,4,47
clustered,6243,20,69,20,5,4,4,2.7956751214,7.2691965413,45.341458155,4.4268695637,4.1618819651,4,62
random_sparse_a,6243,20,69,69,3,12,12,1.101686041,5.1580737882,13.174954739,1.4686777461,0.7894260259,4,62
random_sparse_b,6243,20,69,69,1,4,4,0.9471434092,2.6181033294,10.7741033424,1.0986623585,0.2674865946,4,62
ulam_spaced,6243,20,69,69,1,4,4,0.9757962498,2.7371201494,11.0311004586,0.954562544,0.2686203628,4,62
conflict_aware,6243,20,69,69,1,4,4,0.687516463,1.5918823978,7.760228486,0.6865928856,0.6504145838,4,62
clustered,6244,20,69,20,3,13,13,2.3851557985,5.5942663784,36.2801399663,3.9075825388,3.9075825388,8,69
