run_family,mode,schedule,seed,cycles,n_f,failed,first_failure_cycle,mean_checkpoint_accuracy,final_config_accuracy,final_requirement_accuracy,unsafe_attempts,retry_count,repair_successes,total_tokens,subcritical_first_failure
primary,persistent_history,high_to_low,1212,20,2,1,2,0.64583333,0.16666667,0.16666667,19,4,2,5384,1
primary,prose_summary,high_to_low,1212,20,2,1,2,0.70833333,0.58333333,0.33333333,16,4,3,5264,0
primary,receipt_ancestry,high_to_low,1212,20,2,1,2,0.83333333,1.0,1.0,10,3,2,5654,1
primary,fresh_ground_truth,alternating,1212,20,21,0,,1.0,1.0,1.0,0,0,0,5780,0
primary,persistent_history,alternating,1212,20,5,1,5,0.66666667,0.58333333,0.33333333,16,4,2,5300,1
primary,prose_summary,alternating,1212,20,5,1,5,0.54166667,0.33333333,0.16666667,11,4,3,5264,0
primary,receipt_ancestry,alternating,1212,20,5,1,5,0.875,0.91666667,0.83333333,12,4,3,5651,1
primary,fresh_ground_truth,randomized,1212,20,21,0,,1.0,1.0,1.0,0,0,0,5780,0
primary,persistent_history,randomized,1212,20,3,1,3,0.72916667,0.41666667,0.16666667,18,4,2,5321,1
primary,prose_summary,randomized,1212,20,3,1,3,0.6875,0.41666667,0.16666667,13,4,3,5264,0
primary,receipt_ancestry,randomized,1212,20,3,1,3,0.83333333,0.83333333,0.66666667,17,4,3,5651,1
primary,fresh_ground_truth,low_to_high,1313,20,16,1,16,1.0,1.0,1.0,1,0,0,5840,1
primary,persistent_history,low_to_high,1313,20,7,1,7,0.58333333,0.25,0.33333333,10,3,0,5305,1
primary,prose_summary,low_to_high,1313,20,5,1,5,0.33333333,0.25,0.16666667,11,4,0,5324,1
primary,receipt_ancestry,low_to_high,1313,20,14,1,14,0.875,0.91666667,1.0,6,2,1,5691,1
primary,fresh_ground_truth,high_to_low,1313,20,3,1,3,1.0,1.0,1.0,1,0,0,5840,1
primary,persistent_history,high_to_low,1313,20,11,1,11,0.70833333,0.16666667,0.16666667,10,2,0,5484,1
primary,prose_summary,high_to_low,1313,20,3,1,3,0.33333333,0.08333333,0.16666667,18,4,0,5324,0
primary,receipt_ancestry,high_to_low,1313,20,8,1,8,0.75,0.25,0.83333333,7,2,1,5714,1
primary,fresh_ground_truth,alternating,1313,20,9,1,9,1.0,1.0,1.0,1,0,0,5840,1
primary,persistent_history,alternating,1313,20,6,1,6,0.45833333,0.16666667,0.16666667,15,3,0,5430,1
primary,prose_summary,alternating,1313,20,3,1,3,0.33333333,0.16666667,0.16666667,17,4,0,5324,1
primary,receipt_ancestry,alternating,1313,20,10,1,10,0.625,0.41666667,1.0,5,3,2,5718,1
primary,fresh_ground_truth,randomized,1313,20,19,1,19,1.0,1.0,1.0,1,0,0,5840,1
primary,persistent_history,randomized,1313,20,10,1,10,0.58333333,0.16666667,0.16666667,9,3,0,5362,1
primary,prose_summary,randomized,1313,20,2,1,2,0.39583333,0.25,0.0,14,4,0,5324,1
primary,receipt_ancestry,randomized,1313,20,13,1,13,0.75,0.66666667,1.0,7,3,2,5708,1
primary,fresh_ground_truth,low_to_high,1414,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,low_to_high,1414,20,9,1,9,0.58333333,0.25,0.16666667,12,3,2,5215,1
primary,prose_summary,low_to_high,1414,20,5,1,5,0.70833333,0.75,0.66666667,10,4,4,5284,1
primary,receipt_ancestry,low_to_high,1414,20,5,1,5,0.6875,0.58333333,0.66666667,7,4,3,5642,1
primary,fresh_ground_truth,high_to_low,1414,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,high_to_low,1414,20,2,1,2,0.35416667,0.25,0.0,19,4,3,5404,1
